Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
57b8bfc4,B,City B,Normal,Female,Beauty,446.49,4,89.3,1875.26,2024-07-25,06:34:59,E-wallet,1785.96,4.76,89.3,4.9
ec0c3357,B,City C,Normal,Male,Electronic,93.89,3,14.08,295.75,2024-12-15,22:16:30,Credit Card,281.67,4.76,14.08,9.5
d9b471c5,A,City B,Member,Male,Electronic,104.93,4,20.99,440.71,2025-04-16,02:03:08,E-wallet,419.72,4.76,20.99,5.1
819e93e4,B,City A,Member,Female,Sports,391.89,7,137.16,2880.39,2025-01-17,16:26:44,Credit Card,2743.23,4.76,137.16,8.6
776fe7cd,B,City A,Member,Male,Beauty,341.63,1,17.08,358.71,2025-06-07,15:34:03,Credit Card,341.63,4.76,17.08,4.2
bc25f4dc,A,City C,Member,Female,Beauty,214.03,1,10.7,224.73,2024-08-01,17:59:10,Credit Card,214.03,4.76,10.7,8.6
5f609690,A,City B,Member,Male,Beauty,466.32,5,116.58,2448.18,2025-07-08,19:28:26,Credit Card,2331.6,4.76,116.58,7.1
775dfa51,C,City A,Normal,Female,Sports,85.18,6,25.55,536.63,2024-08-31,06:02:33,Credit Card,511.08,4.76,25.55,5.0
d26fc851,A,City B,Normal,Male,Electronic,356.25,5,89.06,1870.31,2025-04-13,17:05:08,E-wallet,1781.25,4.76,89.06,5.3
138ba609,B,City A,Normal,Male,Electronic,33.91,6,10.17,213.63,2025-05-22,15:18:51,Credit Card,203.46,4.76,10.17,4.7
48bb4f5a,A,City A,Normal,Male,Beauty,439.47,1,21.97,461.44,2024-08-02,00:14:11,E-wallet,439.47,4.76,21.97,7.3
aa24375c,B,City B,Normal,Female,Beauty,160.68,4,32.14,674.86,2025-05-17,08:19:57,E-wallet,642.72,4.76,32.14,9.3
3fd6fe62,B,City C,Normal,Male,Sports,425.06,10,212.53,4463.13,2024-09-29,08:59:52,Credit Card,4250.6,4.76,212.53,6.3
b8f66d53,A,City C,Normal,Male,Home,297.99,2,29.8,625.78,2025-06-26,09:43:00,Credit Card,595.98,4.76,29.8,9.1
c723c5f9,C,City C,Member,Male,Fashion,133.25,1,6.66,139.91,2024-08-25,23:41:35,E-wallet,133.25,4.76,6.66,5.5
6ad1864f,A,City B,Member,Male,Electronic,126.73,1,6.34,133.07,2024-12-11,12:40:29,E-wallet,126.73,4.76,6.34,7.2
a136bc41,A,City C,Member,Female,Electronic,243.8,10,121.9,2559.9,2025-02-05,21:09:31,Credit Card,2438.0,4.76,121.9,5.3
ee992ddd,C,City C,Member,Female,Sports,265.15,5,66.29,1392.04,2024-09-22,18:52:15,Cash,1325.75,4.76,66.29,8.7
751fda0a,A,City C,Normal,Female,Sports,163.87,3,24.58,516.19,2024-12-05,08:38:36,Credit Card,491.61,4.76,24.58,8.2
fb8715a9,B,City A,Member,Female,Fashion,234.62,1,11.73,246.35,2025-01-12,19:19:26,Credit Card,234.62,4.76,11.73,6.1
8d1097b8,A,City C,Member,Female,Fashion,218.98,9,98.54,2069.36,2025-01-17,21:06:23,E-wallet,1970.82,4.76,98.54,5.5
e499fa4f,B,City A,Member,Female,Home,432.65,6,129.79,2725.69,2024-09-08,15:01:14,Cash,2595.9,4.76,129.79,5.5
da69d5ed,A,City A,Normal,Male,Beauty,499.65,2,49.97,1049.27,2024-07-28,03:08:02,Credit Card,999.3,4.76,49.97,8.1
a3014e00,B,City A,Normal,Male,Electronic,201.77,5,50.44,1059.29,2024-07-16,19:58:06,E-wallet,1008.85,4.76,50.44,6.7
660b0d91,A,City C,Normal,Female,Fashion,42.46,4,8.49,178.33,2024-11-24,11:22:07,E-wallet,169.84,4.76,8.49,5.6
a13ac03b,B,City B,Normal,Female,Beauty,101.4,10,50.7,1064.7,2024-12-11,14:20:32,E-wallet,1014.0,4.76,50.7,5.1
a20c1358,C,City B,Normal,Female,Fashion,173.86,6,52.16,1095.32,2025-04-20,17:12:28,E-wallet,1043.16,4.76,52.16,9.3
a0e6dfdf,B,City A,Normal,Female,Fashion,369.87,2,36.99,776.73,2025-05-12,08:08:56,E-wallet,739.74,4.76,36.99,9.5
5e222603,A,City B,Normal,Female,Electronic,257.82,8,103.13,2165.69,2025-04-06,04:32:23,Credit Card,2062.56,4.76,103.13,7.6
046dae73,A,City C,Normal,Female,Electronic,161.03,9,72.46,1521.73,2025-01-13,16:43:33,Credit Card,1449.27,4.76,72.46,5.4
9fceb02a,C,City A,Normal,Female,Home,198.32,6,59.5,1249.42,2024-10-20,05:00:09,Cash,1189.92,4.76,59.5,9.3
b231e091,C,City A,Member,Female,Sports,182.04,1,9.1,191.14,2024-09-06,15:48:33,E-wallet,182.04,4.76,9.1,5.8
a554b4a8,A,City A,Member,Male,Electronic,155.14,2,15.51,325.79,2024-10-06,20:52:39,Credit Card,310.28,4.76,15.51,6.8
ecc8d47f,C,City C,Normal,Female,Home,483.35,8,193.34,4060.14,2025-03-30,08:39:52,E-wallet,3866.8,4.76,193.34,9.3
21ea5fb4,C,City B,Member,Male,Beauty,172.77,6,51.83,1088.45,2025-05-29,08:30:50,Cash,1036.62,4.76,51.83,5.3
a0e3e663,C,City A,Normal,Female,Home,484.23,6,145.27,3050.65,2024-11-27,08:07:34,E-wallet,2905.38,4.76,145.27,4.8
36fec00d,B,City A,Normal,Female,Fashion,64.0,7,22.4,470.4,2025-05-16,23:19:57,Credit Card,448.0,4.76,22.4,9.7
c0e00c53,C,City B,Member,Female,Fashion,335.59,2,33.56,704.74,2025-04-03,08:12:52,Cash,671.18,4.76,33.56,6.4
e07e89bf,C,City B,Normal,Female,Fashion,62.45,1,3.12,65.57,2024-08-30,08:02:19,Cash,62.45,4.76,3.12,9.2
2c0df7e5,A,City B,Member,Female,Sports,235.01,2,23.5,493.52,2024-12-15,23:13:16,E-wallet,470.02,4.76,23.5,5.7
12a18518,C,City A,Normal,Female,Home,420.99,3,63.15,1326.12,2025-04-19,04:46:54,Cash,1262.97,4.76,63.15,5.7
144db92a,A,City C,Member,Male,Sports,175.45,6,52.63,1105.33,2025-03-23,16:28:59,Credit Card,1052.7,4.76,52.63,7.0
fdd1612a,B,City A,Member,Male,Electronic,258.22,8,103.29,2169.05,2024-10-13,14:27:31,E-wallet,2065.76,4.76,103.29,7.5
a7d8c721,A,City C,Member,Female,Fashion,450.65,8,180.26,3785.46,2024-11-26,04:55:15,Credit Card,3605.2,4.76,180.26,5.3
cae0b4eb,C,City B,Normal,Female,Sports,338.74,9,152.43,3201.09,2024-12-15,09:08:26,E-wallet,3048.66,4.76,152.43,4.9
c550a68d,A,City B,Normal,Female,Electronic,305.96,3,45.89,963.77,2024-12-07,15:16:40,E-wallet,917.88,4.76,45.89,6.9
ae2b3182,C,City C,Normal,Female,Fashion,248.53,5,62.13,1304.78,2025-03-11,12:24:24,E-wallet,1242.65,4.76,62.13,8.1
906a86c5,B,City A,Member,Male,Fashion,176.89,10,88.44,1857.34,2024-10-09,09:18:44,E-wallet,1768.9,4.76,88.44,8.8
59c6aa65,B,City B,Normal,Male,Home,227.84,1,11.39,239.23,2024-09-10,15:19:43,Credit Card,227.84,4.76,11.39,7.6
3b0342fd,B,City A,Normal,Female,Sports,146.24,7,51.18,1074.86,2025-04-27,11:26:22,E-wallet,1023.68,4.76,51.18,4.8
19bf1b8f,A,City A,Member,Male,Beauty,191.64,1,9.58,201.22,2025-01-30,10:27:33,Cash,191.64,4.76,9.58,5.9
af90b19e,B,City B,Member,Female,Fashion,419.36,1,20.97,440.33,2024-09-06,23:22:18,E-wallet,419.36,4.76,20.97,8.1
0c3534c7,C,City C,Member,Female,Beauty,485.3,2,48.53,1019.13,2025-03-19,18:45:03,Cash,970.6,4.76,48.53,9.2
cee4bf1c,A,City A,Normal,Male,Home,158.33,5,39.58,831.23,2024-10-16,21:48:58,Credit Card,791.65,4.76,39.58,7.2
4b4bcbb4,B,City A,Member,Male,Beauty,26.04,7,9.11,191.39,2024-09-13,17:08:11,E-wallet,182.28,4.76,9.11,7.8
720bf039,A,City A,Normal,Male,Beauty,493.3,4,98.66,2071.86,2025-06-10,14:36:39,E-wallet,1973.2,4.76,98.66,8.5
08b4ee89,B,City A,Normal,Male,Electronic,480.75,6,144.22,3028.72,2025-05-11,20:35:06,Cash,2884.5,4.76,144.22,4.2
c8f06570,C,City B,Member,Female,Sports,262.82,8,105.13,2207.69,2025-01-15,00:35:05,Credit Card,2102.56,4.76,105.13,4.5
fa687a58,B,City A,Member,Male,Beauty,32.53,5,8.13,170.78,2024-10-14,04:58:12,E-wallet,162.65,4.76,8.13,5.3
dc468075,C,City A,Member,Female,Fashion,377.78,6,113.33,2380.01,2024-08-05,10:53:43,E-wallet,2266.68,4.76,113.33,7.7
79ee4128,B,City A,Normal,Female,Sports,274.33,7,96.02,2016.33,2024-07-17,08:47:53,E-wallet,1920.31,4.76,96.02,5.8
6000f148,C,City A,Member,Female,Beauty,412.34,2,41.23,865.91,2025-04-29,13:24:43,Credit Card,824.68,4.76,41.23,8.4
f8d3ee30,B,City A,Member,Female,Fashion,479.47,6,143.84,3020.66,2024-12-18,06:01:46,Cash,2876.82,4.76,143.84,4.7
9cb63f51,A,City C,Normal,Male,Home,315.36,2,31.54,662.26,2025-04-15,12:39:51,Credit Card,630.72,4.76,31.54,9.4
3a2e11c8,B,City C,Member,Female,Home,401.15,7,140.4,2948.45,2024-11-18,21:19:35,E-wallet,2808.05,4.76,140.4,6.9
8caffc98,A,City C,Normal,Male,Electronic,177.72,5,44.43,933.03,2025-06-13,22:10:04,Credit Card,888.6,4.76,44.43,5.5
c0c16860,B,City A,Normal,Female,Beauty,67.06,5,16.77,352.07,2025-03-21,17:48:57,Cash,335.3,4.76,16.77,9.9
de48e6b4,A,City A,Member,Female,Fashion,321.21,6,96.36,2023.62,2024-10-02,16:38:52,E-wallet,1927.26,4.76,96.36,8.7
2c254dfb,A,City C,Member,Female,Home,452.65,7,158.43,3326.98,2025-03-10,06:11:09,Credit Card,3168.55,4.76,158.43,6.2
c120107e,B,City C,Member,Male,Fashion,454.48,1,22.72,477.2,2024-09-24,20:12:39,Credit Card,454.48,4.76,22.72,8.8
075667a6,C,City A,Member,Female,Home,113.74,10,56.87,1194.27,2025-05-03,03:14:59,Credit Card,1137.4,4.76,56.87,9.5
7ed2e82e,A,City C,Normal,Female,Beauty,442.64,6,132.79,2788.63,2025-05-01,07:53:58,Credit Card,2655.84,4.76,132.79,9.7
ea1429fd,C,City A,Normal,Female,Sports,148.9,8,59.56,1250.76,2025-07-07,04:15:21,E-wallet,1191.2,4.76,59.56,9.5
6dee1a33,A,City C,Normal,Female,Sports,252.72,1,12.64,265.36,2025-03-18,09:26:06,E-wallet,252.72,4.76,12.64,6.7
7f928337,B,City C,Normal,Female,Sports,302.36,2,30.24,634.96,2024-10-07,13:47:32,Cash,604.72,4.76,30.24,5.3
7f5a96f0,B,City C,Member,Male,Home,292.89,9,131.8,2767.81,2025-04-05,23:28:08,Credit Card,2636.01,4.76,131.8,4.5
ac2ac41f,B,City C,Member,Female,Beauty,308.61,4,61.72,1296.16,2024-11-02,03:03:18,E-wallet,1234.44,4.76,61.72,4.5
4717f276,B,City A,Member,Male,Electronic,348.91,7,122.12,2564.49,2025-01-05,19:39:31,E-wallet,2442.37,4.76,122.12,8.5
e9f431f2,B,City C,Member,Male,Electronic,182.4,9,82.08,1723.68,2024-11-01,09:46:03,E-wallet,1641.6,4.76,82.08,4.0
f9559f71,A,City A,Normal,Male,Electronic,405.1,8,162.04,3402.84,2025-06-19,12:46:57,Credit Card,3240.8,4.76,162.04,6.9
65ece34a,C,City A,Normal,Female,Beauty,326.23,2,32.62,685.08,2025-04-03,10:13:46,E-wallet,652.46,4.76,32.62,8.6
9f787d1c,C,City B,Member,Female,Home,290.76,9,130.84,2747.68,2024-09-26,09:52:50,Cash,2616.84,4.76,130.84,4.3
00f76f5d,A,City A,Normal,Female,Home,61.68,7,21.59,453.35,2024-11-04,18:06:46,Credit Card,431.76,4.76,21.59,9.7
a523f32f,B,City C,Member,Female,Beauty,424.4,2,42.44,891.24,2024-07-22,01:04:29,Credit Card,848.8,4.76,42.44,8.4
a1e0c018,B,City B,Normal,Female,Electronic,24.8,9,11.16,234.36,2024-11-13,17:41:51,E-wallet,223.2,4.76,11.16,8.2
848eea73,B,City A,Normal,Male,Fashion,398.26,10,199.13,4181.73,2025-04-03,19:30:34,Credit Card,3982.6,4.76,199.13,8.0
c495de14,A,City A,Member,Male,Sports,285.07,5,71.27,1496.62,2024-10-28,09:51:00,E-wallet,1425.35,4.76,71.27,8.2
82040be1,B,City B,Member,Female,Electronic,209.6,3,31.44,660.24,2025-05-10,20:30:00,Credit Card,628.8,4.76,31.44,6.7
0c06162f,A,City C,Member,Female,Fashion,324.92,1,16.25,341.17,2025-01-04,09:06:46,Credit Card,324.92,4.76,16.25,8.6
bf2f84a4,A,City C,Normal,Male,Sports,122.52,10,61.26,1286.46,2025-05-23,23:25:59,Cash,1225.2,4.76,61.26,4.0
44cca183,C,City B,Normal,Female,Beauty,482.29,5,120.57,2532.02,2025-03-26,00:22:56,Cash,2411.45,4.76,120.57,5.2
e248783b,A,City C,Normal,Male,Home,80.06,3,12.01,252.19,2024-07-14,07:00:51,Cash,240.18,4.76,12.01,8.0
9dec0f10,C,City B,Normal,Male,Home,41.27,3,6.19,130.0,2024-11-30,09:13:54,E-wallet,123.81,4.76,6.19,9.9
441fb1d5,C,City C,Member,Female,Fashion,226.63,3,33.99,713.88,2024-07-30,16:20:36,Cash,679.89,4.76,33.99,4.5
e5e6a2fb,A,City C,Normal,Female,Home,474.06,10,237.03,4977.63,2025-02-21,15:44:24,E-wallet,4740.6,4.76,237.03,6.7
8d5ca241,A,City A,Member,Male,Electronic,398.96,9,179.53,3770.17,2024-12-16,22:41:45,Cash,3590.64,4.76,179.53,7.7
a86210da,A,City B,Member,Female,Home,202.38,2,20.24,425.0,2025-04-21,23:57:08,E-wallet,404.76,4.76,20.24,6.9
22e699a2,A,City B,Normal,Female,Beauty,429.56,6,128.87,2706.23,2025-03-20,01:33:30,E-wallet,2577.36,4.76,128.87,5.4
230bddf6,B,City C,Normal,Male,Sports,296.33,2,29.63,622.29,2024-09-04,12:53:04,E-wallet,592.66,4.76,29.63,9.0
e08e5a14,A,City C,Member,Female,Home,101.68,6,30.5,640.58,2025-05-09,16:40:50,E-wallet,610.08,4.76,30.5,9.8
bf7c6689,C,City A,Member,Male,Fashion,411.5,6,123.45,2592.45,2024-08-21,21:41:06,Cash,2469.0,4.76,123.45,5.2
6f902c4e,C,City A,Member,Female,Sports,65.12,9,29.3,615.38,2024-12-24,04:36:59,Credit Card,586.08,4.76,29.3,7.5
c5d31c10,B,City C,Normal,Male,Sports,195.21,1,9.76,204.97,2024-10-17,22:19:15,Cash,195.21,4.76,9.76,9.4
5a2b685a,A,City A,Member,Male,Beauty,252.21,2,25.22,529.64,2025-06-29,03:40:57,Cash,504.42,4.76,25.22,5.4
4ec2b310,A,City A,Normal,Female,Home,270.2,5,67.55,1418.55,2025-07-10,04:47:56,Cash,1351.0,4.76,67.55,9.8
5dd6a930,A,City A,Normal,Female,Fashion,447.51,6,134.25,2819.31,2025-04-30,15:53:08,Cash,2685.06,4.76,134.25,7.0
615b6637,A,City B,Member,Female,Fashion,362.86,1,18.14,381.0,2025-05-13,17:45:34,Cash,362.86,4.76,18.14,7.6
e85c5642,C,City C,Member,Female,Beauty,221.69,2,22.17,465.55,2025-03-28,09:42:28,Cash,443.38,4.76,22.17,6.5
65083cba,C,City C,Member,Male,Beauty,82.46,7,28.86,606.08,2024-09-20,02:16:15,E-wallet,577.22,4.76,28.86,8.5
97e0bbdb,B,City A,Normal,Female,Beauty,208.96,3,31.34,658.22,2025-05-27,19:12:43,Credit Card,626.88,4.76,31.34,9.5
7c8540df,C,City C,Normal,Male,Beauty,402.42,3,60.36,1267.62,2025-05-18,09:55:14,Credit Card,1207.26,4.76,60.36,8.4
f0dc3d5e,B,City A,Member,Male,Home,417.94,2,41.79,877.67,2025-06-21,08:20:29,Credit Card,835.88,4.76,41.79,5.5
a69b4f4e,A,City A,Member,Male,Sports,72.44,7,25.35,532.43,2025-04-08,16:44:27,Credit Card,507.08,4.76,25.35,4.5
fe38079b,A,City B,Member,Male,Electronic,274.09,1,13.7,287.79,2024-09-26,17:37:04,E-wallet,274.09,4.76,13.7,4.1
c4618185,C,City A,Normal,Female,Fashion,152.24,2,15.22,319.7,2024-07-30,02:00:35,Credit Card,304.48,4.76,15.22,5.5
a954e456,B,City C,Member,Female,Sports,198.45,5,49.61,1041.86,2024-12-16,07:57:56,Cash,992.25,4.76,49.61,5.0
e80f867f,A,City A,Member,Female,Home,265.0,1,13.25,278.25,2024-08-17,09:20:33,Cash,265.0,4.76,13.25,7.2
546493eb,B,City A,Normal,Female,Fashion,206.31,6,61.89,1299.75,2025-05-20,03:51:40,E-wallet,1237.86,4.76,61.89,9.2
714b689e,B,City C,Member,Female,Sports,227.63,1,11.38,239.01,2025-05-12,06:33:25,E-wallet,227.63,4.76,11.38,6.1
6c606fba,C,City C,Member,Male,Electronic,206.25,7,72.19,1515.94,2024-11-21,15:01:41,Cash,1443.75,4.76,72.19,6.5
3cc4fc22,C,City C,Normal,Female,Beauty,168.18,6,50.45,1059.53,2024-12-23,01:19:37,E-wallet,1009.08,4.76,50.45,8.1
b9c9337a,A,City B,Normal,Male,Electronic,389.27,4,77.85,1634.93,2024-10-28,12:38:51,Cash,1557.08,4.76,77.85,8.3
223850a0,B,City B,Member,Female,Sports,394.34,7,138.02,2898.4,2025-01-21,08:40:11,Cash,2760.38,4.76,138.02,4.8
ccfee47c,C,City C,Member,Male,Home,113.0,4,22.6,474.6,2025-05-19,04:38:59,Cash,452.0,4.76,22.6,4.8
e09ad0ed,B,City A,Normal,Male,Electronic,183.81,2,18.38,386.0,2025-02-12,01:48:14,E-wallet,367.62,4.76,18.38,8.4
d1c14cc5,C,City A,Normal,Male,Beauty,293.09,2,29.31,615.49,2025-04-28,19:57:03,Credit Card,586.18,4.76,29.31,9.0
565c6fdd,C,City A,Member,Female,Beauty,60.55,6,18.16,381.46,2024-10-20,17:01:46,E-wallet,363.3,4.76,18.16,6.7
f1efc8df,B,City B,Member,Female,Fashion,486.87,1,24.34,511.21,2025-05-16,08:57:40,Cash,486.87,4.76,24.34,9.7
20b18602,A,City C,Member,Female,Beauty,20.73,4,4.15,87.07,2024-12-11,16:45:05,Credit Card,82.92,4.76,4.15,9.0
9b78ef8b,C,City B,Member,Male,Fashion,293.01,1,14.65,307.66,2024-12-03,22:42:50,Cash,293.01,4.76,14.65,4.8
7d801270,B,City A,Normal,Male,Electronic,343.52,3,51.53,1082.09,2024-09-27,01:32:01,E-wallet,1030.56,4.76,51.53,9.1
a56c3ffc,A,City A,Member,Female,Fashion,450.14,6,135.04,2835.88,2025-06-19,10:07:26,E-wallet,2700.84,4.76,135.04,7.2
9b3e2cad,A,City A,Member,Female,Sports,493.34,8,197.34,4144.06,2024-11-12,13:36:36,Cash,3946.72,4.76,197.34,4.8
c3a650bf,B,City C,Member,Male,Sports,12.82,1,0.64,13.46,2024-08-20,05:15:47,Credit Card,12.82,4.76,0.64,4.3
35f3b909,B,City A,Normal,Female,Beauty,188.15,2,18.82,395.12,2025-04-23,17:29:29,Credit Card,376.3,4.76,18.82,5.3
e1a4342f,B,City C,Member,Male,Home,144.52,5,36.13,758.73,2024-12-31,01:14:09,Credit Card,722.6,4.76,36.13,5.0
381e3766,A,City B,Member,Female,Sports,438.77,5,109.69,2303.54,2025-04-11,14:57:31,E-wallet,2193.85,4.76,109.69,6.2
7b1f41f2,A,City C,Member,Female,Electronic,405.12,6,121.54,2552.26,2025-06-19,12:36:30,Cash,2430.72,4.76,121.54,5.4
8604b658,C,City C,Normal,Female,Sports,59.95,1,3.0,62.95,2025-01-13,07:40:09,Cash,59.95,4.76,3.0,8.0
e486e5e8,A,City C,Normal,Female,Fashion,177.69,5,44.42,932.87,2025-03-19,03:50:59,E-wallet,888.45,4.76,44.42,8.1
00c80058,B,City A,Normal,Male,Electronic,248.6,7,87.01,1827.21,2025-06-20,14:13:13,E-wallet,1740.2,4.76,87.01,6.5
75ce6f0c,A,City C,Normal,Male,Sports,191.79,3,28.77,604.14,2024-08-20,10:51:26,E-wallet,575.37,4.76,28.77,4.2
55298c61,C,City C,Normal,Female,Sports,374.08,7,130.93,2749.49,2024-07-20,09:33:29,Cash,2618.56,4.76,130.93,8.6
b31f5ae4,A,City A,Normal,Female,Beauty,277.97,2,27.8,583.74,2024-09-24,01:18:09,Credit Card,555.94,4.76,27.8,7.3
c7e4cb02,B,City B,Normal,Female,Beauty,349.4,8,139.76,2934.96,2025-04-13,15:17:40,Cash,2795.2,4.76,139.76,7.3
32756ad2,C,City B,Normal,Male,Home,394.03,8,157.61,3309.85,2024-08-11,14:17:02,E-wallet,3152.24,4.76,157.61,5.7
4ca2808f,A,City C,Member,Female,Home,323.1,1,16.16,339.26,2024-08-22,02:25:07,Cash,323.1,4.76,16.16,9.8
1ae79862,C,City A,Member,Female,Sports,419.59,8,167.84,3524.56,2024-08-26,20:20:09,Credit Card,3356.72,4.76,167.84,8.8
23216e39,C,City B,Member,Male,Home,213.6,6,64.08,1345.68,2025-04-02,02:06:23,E-wallet,1281.6,4.76,64.08,8.5
a5da66f2,C,City A,Normal,Male,Fashion,274.08,1,13.7,287.78,2025-03-21,02:35:35,E-wallet,274.08,4.76,13.7,4.7
26a79a3a,A,City C,Member,Male,Home,437.19,8,174.88,3672.4,2025-02-09,23:12:29,Credit Card,3497.52,4.76,174.88,7.5
5b6488b9,C,City B,Normal,Female,Electronic,231.13,4,46.23,970.75,2024-12-06,23:41:48,Cash,924.52,4.76,46.23,5.2
57a8b7d8,B,City C,Member,Male,Fashion,253.28,10,126.64,2659.44,2025-04-03,13:44:05,Cash,2532.8,4.76,126.64,8.1
d6a8df94,B,City A,Normal,Female,Fashion,395.18,4,79.04,1659.76,2024-09-14,16:51:20,Credit Card,1580.72,4.76,79.04,5.4
3ea03702,C,City C,Member,Female,Sports,312.07,3,46.81,983.02,2025-04-11,09:11:41,E-wallet,936.21,4.76,46.81,6.4
14e90221,C,City C,Member,Male,Fashion,367.59,2,36.76,771.94,2025-04-13,13:05:07,Cash,735.18,4.76,36.76,8.8
c8802d02,B,City C,Member,Male,Electronic,269.09,4,53.82,1130.18,2025-02-26,14:45:53,Credit Card,1076.36,4.76,53.82,9.0
354cdd40,B,City B,Member,Female,Beauty,145.22,10,72.61,1524.81,2025-06-04,05:54:22,Credit Card,1452.2,4.76,72.61,7.9
839e2a19,B,City A,Normal,Male,Sports,27.22,5,6.8,142.9,2025-05-08,19:54:57,E-wallet,136.1,4.76,6.8,8.7
cdf054ad,B,City C,Normal,Male,Beauty,143.17,6,42.95,901.97,2025-02-21,15:11:45,Credit Card,859.02,4.76,42.95,4.6
50c3e21b,B,City C,Normal,Female,Sports,93.78,8,37.51,787.75,2025-04-13,00:16:05,Cash,750.24,4.76,37.51,5.8
cb777ed1,C,City C,Member,Female,Electronic,478.54,10,239.27,5024.67,2024-08-08,09:50:17,Credit Card,4785.4,4.76,239.27,6.2
d2e33712,B,City A,Normal,Male,Sports,106.33,3,15.95,334.94,2025-06-15,18:12:22,Credit Card,318.99,4.76,15.95,8.0
e2666460,B,City C,Normal,Male,Electronic,95.35,3,14.3,300.35,2025-06-12,03:31:32,Credit Card,286.05,4.76,14.3,6.9
a17519b0,A,City A,Normal,Female,Sports,431.61,2,43.16,906.38,2025-07-02,20:15:13,Cash,863.22,4.76,43.16,4.1
f00e5371,A,City C,Normal,Female,Electronic,71.93,5,17.98,377.63,2024-07-17,05:23:44,Cash,359.65,4.76,17.98,8.3
